flight_operation_id,flightid,avbseats,status,route_id,weather_conditions,aircraftid,aircraft_name,totalseats,aircraft_status,manufacturer,departure_airport_code,departure_airport_name,departure_city,departure_country,departure_elevation,departure_is_international,arrival_airport_code,arrival_airport_name,arrival_city,arrival_country,arrival_elevation,arrival_is_international,departure_date,departure_month,departure_year,departure_time,departure_hours,departure_minutes,departure_meridiem,arrival_date,arrival_month,arrival_year,arrival_time,arrival_hours,arrival_minutes,arrival_meridiem,route_duration,distance,route_cost,booked_seats
21,129,109,Scheduled,739,Bad,71,Aircraft6,337,Active,Boeing,A36,Airport36,City36,Country36,3453,False,A132,Airport132,City132,Country132,3188,True,2024-04-03,4,2024,17:22:13.200712,17,22,PM,2024-04-03,4,2024,17:55:13.200712,17,55,PM,33,497.0,994,228
23,130,160,Scheduled,665,Bad,85,Aircraft26,165,Active,Boeing,A498,Airport498,City498,Country498,2657,False,A210,Airport210,City210,Country210,2922,True,2024-03-31,3,2024,03:41:14.589920,3,41,AM,2024-03-31,3,2024,04:03:14.589920,4,3,AM,22,4299.0,8598,5
25,131,118,Delayed,405,Bad,98,Aircraft33,201,Active,Airbus,A126,Airport126,City126,Country126,3430,False,A312,Airport312,City312,Country312,2734,True,2024-03-07,3,2024,07:10:21.452577,7,10,AM,2024-03-07,3,2024,07:38:21.452577,7,38,AM,28,4135.0,8270,83
27,132,42,Scheduled,318,Bad,91,Aircraft36,248,Active,Airbus,A124,Airport124,City124,Country124,4567,True,A34,Airport34,City34,Country34,4793,True,2024-03-02,3,2024,04:54:41.408502,4,54,AM,2024-03-02,3,2024,06:54:41.408502,6,54,AM,120,825.0,1650,206
29,133,199,Scheduled,737,Good,90,Aircraft25,238,Active,Boeing,A26,Airport26,City26,Country26,2557,True,A123,Airport123,City123,Country123,547,True,2024-04-20,4,2024,11:50:40.119875,11,50,AM,2024-04-20,4,2024,11:51:40.119875,11,51,AM,1,818.0,1636,39
31,134,14,Scheduled,294,Bad,73,Aircraft10,182,Active,Airbus,A156,Airport156,City156,Country156,3410,True,A94,Airport94,City94,Country94,12,True,2024-03-27,3,2024,19:13:14.758408,19,13,PM,2024-03-27,3,2024,20:13:14.758408,20,13,PM,60,4058.0,8116,168
33,135,62,Scheduled,432,Good,82,Aircraft22,244,Active,Boeing,A168,Airport168,City168,Country168,1837,True,A77,Airport77,City77,Country77,2624,True,2024-03-21,3,2024,12:11:45.492959,12,11,PM,2024-03-21,3,2024,13:10:45.492959,13,10,PM,59,2646.407211028632,5293,182
35,136,75,Delayed,1000,Bad,91,Aircraft36,248,Active,Airbus,A286,Airport286,City286,Country286,2738,True,A184,Airport184,City184,Country184,2605,True,2024-03-17,3,2024,19:30:34.053364,19,30,PM,2024-03-17,3,2024,20:30:34.053364,20,30,PM,60,125.0,250,173
37,137,109,Scheduled,618,Bad,76,Aircraft15,276,Active,Airbus,A245,Airport245,City245,Country245,2871,True,A51,Airport51,City51,Country51,3201,False,2024-03-12,3,2024,09:34:38.325397,9,34,AM,2024-03-12,3,2024,13:34:38.325397,13,34,PM,240,1136.0,2272,167
39,138,109,Delayed,745,Bad,98,Aircraft33,201,Active,Airbus,A273,Airport273,City273,Country273,4520,True,A81,Airport81,City81,Country81,3905,True,2024-03-04,3,2024,16:52:31.303896,16,52,PM,2024-03-04,3,2024,17:25:31.303896,17,25,PM,33,2646.407211028632,5293,92
41,139,73,Delayed,585,Good,75,Aircraft13,144,Active,Airbus,A426,Airport426,City426,Country426,1859,True,A124,Airport124,City124,Country124,4567,True,2024-03-26,3,2024,20:45:23.429517,20,45,PM,2024-03-26,3,2024,21:05:23.429517,21,5,PM,20,4963.0,9926,71
43,140,15,Delayed,219,Bad,80,Aircraft15,177,Active,Boeing,A49,Airport49,City49,Country49,4392,False,A325,Airport325,City325,Country325,875,True,2024-03-14,3,2024,10:39:10.599608,10,39,AM,2024-03-14,3,2024,15:39:10.599608,15,39,PM,300,3877.0,7754,162
45,141,75,Scheduled,138,Bad,77,Aircraft16,254,Active,Boeing,A67,Airport67,City67,Country67,3079,True,A75,Airport75,City75,Country75,70,False,2024-03-12,3,2024,07:55:20.476761,7,55,AM,2024-03-12,3,2024,12:55:20.476761,12,55,PM,300,3854.0,7708,179
47,142,218,Delayed,947,Good,77,Aircraft16,254,Active,Boeing,A326,Airport326,City326,Country326,713,True,A382,Airport382,City382,Country382,1304,True,2024-03-30,3,2024,04:30:32.184890,4,30,AM,2024-03-30,3,2024,06:30:32.184890,6,30,AM,120,2646.407211028632,5293,36
49,143,147,Scheduled,297,Good,90,Aircraft25,238,Active,Boeing,A131,Airport131,City131,Country131,2880,False,A444,Airport444,City444,Country444,4455,True,2024-03-25,3,2024,00:39:18.827116,0,39,AM,2024-03-25,3,2024,01:39:18.827116,1,39,AM,60,4264.0,8528,91
51,144,233,Delayed,550,Bad,77,Aircraft16,254,Active,Boeing,A369,Airport369,City369,Country369,223,False,A107,Airport107,City107,Country107,4853,True,2024-04-09,4,2024,04:55:36.615512,4,55,AM,2024-04-09,4,2024,09:55:36.615512,9,55,AM,300,2646.407211028632,5293,21
53,145,209,Scheduled,347,Bad,68,Aircraft3,354,Active,Airbus,A438,Airport438,City438,Country438,3188,True,A489,Airport489,City489,Country489,3785,True,2024-03-08,3,2024,19:24:36.683582,19,24,PM,2024-03-08,3,2024,20:07:36.683582,20,7,PM,43,2646.407211028632,5293,145
55,146,218,Delayed,821,Bad,90,Aircraft25,238,Active,Boeing,A265,Airport265,City265,Country265,4729,True,A359,Airport359,City359,Country359,4604,False,2024-03-08,3,2024,10:16:13.990460,10,16,AM,2024-03-08,3,2024,11:33:13.990460,11,33,AM,77,2751.0,5502,20
57,147,214,Scheduled,1016,Good,71,Aircraft6,337,Active,Boeing,A418,Airport418,City418,Country418,3482,True,A321,Airport321,City321,Country321,4478,True,2024-04-20,4,2024,03:35:56.685414,3,35,AM,2024-04-20,4,2024,07:35:56.685414,7,35,AM,240,2646.407211028632,5293,123
59,148,152,Scheduled,284,Good,90,Aircraft25,238,Active,Boeing,A499,Airport499,City499,Country499,2485,True,A427,Airport427,City427,Country427,1742,True,2024-04-10,4,2024,01:24:03.748911,1,24,AM,2024-04-10,4,2024,01:39:03.748911,1,39,AM,15,2646.407211028632,5293,86
61,149,52,Delayed,252,Bad,73,Aircraft10,182,Active,Airbus,A177,Airport177,City177,Country177,4324,True,A315,Airport315,City315,Country315,3824,False,2024-03-14,3,2024,09:16:35.233604,9,16,AM,2024-03-14,3,2024,10:11:35.233604,10,11,AM,55,502.0,1004,130
63,150,241,Scheduled,481,Good,91,Aircraft36,248,Active,Airbus,A438,Airport438,City438,Country438,3188,True,A482,Airport482,City482,Country482,2979,False,2024-03-08,3,2024,02:13:27.896733,2,13,AM,2024-03-08,3,2024,04:00:27.896733,4,0,AM,107,4193.0,8386,7
65,151,109,Scheduled,938,Good,91,Aircraft36,248,Active,Airbus,A212,Airport212,City212,Country212,1100,False,A112,Airport112,City112,Country112,990,True,2024-03-09,3,2024,09:48:13.808490,9,48,AM,2024-03-09,3,2024,10:38:13.808490,10,38,AM,50,1721.0,3442,139
67,152,41,Scheduled,958,Bad,75,Aircraft13,144,Active,Airbus,A155,Airport155,City155,Country155,771,False,A126,Airport126,City126,Country126,3430,False,2024-05-28,5,2024,13:47:35.624131,13,47,PM,2024-05-28,5,2024,23:59:16.624131,23,59,PM,612,859.0,1718,103
69,153,32,Scheduled,1020,Good,76,Aircraft15,276,Active,Airbus,A472,Airport472,City472,Country472,1821,False,A245,Airport245,City245,Country245,2871,True,2024-03-21,3,2024,08:56:55.592711,8,56,AM,2024-03-21,3,2024,13:56:55.592711,13,56,PM,300,1165.0,2330,244
71,154,322,Scheduled,555,Bad,68,Aircraft3,354,Active,Airbus,A80,Airport80,City80,Country80,4791,True,A19,Airport19,City19,Country19,644,True,2024-05-28,5,2024,17:02:56.624131,17,2,PM,2024-05-28,5,2024,19:53:09.624131,19,53,PM,170,2646.407211028632,5293,32
73,155,109,Scheduled,567,Bad,80,Aircraft15,177,Active,Boeing,A194,Airport194,City194,Country194,2651,True,A184,Airport184,City184,Country184,2605,True,2024-04-01,4,2024,05:47:05.883316,5,47,AM,2024-04-01,4,2024,06:13:05.883316,6,13,AM,26,1132.0,2264,68
75,156,268,Scheduled,499,Good,68,Aircraft3,354,Active,Airbus,A170,Airport170,City170,Country170,3201,True,A458,Airport458,City458,Country458,2150,True,2024-03-30,3,2024,14:42:57.859328,14,42,PM,2024-03-30,3,2024,15:03:57.859328,15,3,PM,21,2727.0,5454,86
77,157,14,Scheduled,936,Bad,81,Aircraft21,277,Active,Boeing,A55,Airport55,City55,Country55,77,False,A71,Airport71,City71,Country71,1639,True,2024-04-09,4,2024,16:16:36.902086,16,16,PM,2024-04-09,4,2024,20:16:36.902086,20,16,PM,240,4056.0,8112,263
79,158,125,Delayed,687,Bad,91,Aircraft36,248,Active,Airbus,A306,Airport306,City306,Country306,4812,True,A102,Airport102,City102,Country102,4929,False,2024-03-17,3,2024,10:11:27.086453,10,11,AM,2024-03-17,3,2024,10:24:27.086453,10,24,AM,13,2646.407211028632,5293,123
81,159,3,Delayed,615,Good,77,Aircraft16,254,Active,Boeing,A214,Airport214,City214,Country214,442,True,A192,Airport192,City192,Country192,329,False,2024-04-09,4,2024,17:37:34.053576,17,37,PM,2024-04-09,4,2024,18:37:34.053576,18,37,PM,60,4111.0,8222,251
83,160,217,Delayed,704,Good,92,Aircraft38,257,Active,Boeing,A285,Airport285,City285,Country285,1308,True,A434,Airport434,City434,Country434,556,False,2024-03-11,3,2024,20:40:17.460531,20,40,PM,2024-03-11,3,2024,21:40:17.460531,21,40,PM,60,2646.407211028632,5293,40
85,161,107,Scheduled,102,Good,82,Aircraft22,244,Active,Boeing,A332,Airport332,City332,Country332,1476,True,A312,Airport312,City312,Country312,2734,True,2024-03-28,3,2024,08:40:18.302020,8,40,AM,2024-03-28,3,2024,10:40:18.302020,10,40,AM,120,2646.407211028632,5293,137
87,162,177,Scheduled,544,Good,77,Aircraft16,254,Active,Boeing,A196,Airport196,City196,Country196,3328,True,A66,Airport66,City66,Country66,3031,False,2024-03-31,3,2024,09:31:20.267614,9,31,AM,2024-03-31,3,2024,10:31:20.267614,10,31,AM,60,899.0,1798,77
89,163,98,Delayed,983,Bad,75,Aircraft13,144,Active,Airbus,A131,Airport131,City131,Country131,2880,False,A357,Airport357,City357,Country357,3625,False,2024-04-01,4,2024,07:10:15.731121,7,10,AM,2024-04-01,4,2024,07:48:15.731121,7,48,AM,38,2858.0,5716,46
91,164,109,Scheduled,101,Bad,76,Aircraft15,276,Active,Airbus,A441,Airport441,City441,Country441,4219,True,A404,Airport404,City404,Country404,519,True,2024-05-28,5,2024,15:18:48.624131,15,18,PM,2024-05-28,5,2024,18:23:31.624131,18,23,PM,185,2068.0,4136,167
93,165,77,Scheduled,1066,Bad,75,Aircraft13,144,Active,Airbus,A241,Airport241,City241,Country241,4646,True,A91,Airport91,City91,Country91,2582,True,2024-03-07,3,2024,09:52:09.643691,9,52,AM,2024-03-07,3,2024,11:52:09.643691,11,52,AM,120,4588.0,9176,67
95,166,204,Scheduled,189,Good,82,Aircraft22,244,Active,Boeing,A88,Airport88,City88,Country88,1770,False,A78,Airport78,City78,Country78,4460,True,2024-03-24,3,2024,15:36:39.765585,15,36,PM,2024-03-24,3,2024,18:36:39.765585,18,36,PM,180,2646.407211028632,5293,40
97,167,197,Scheduled,1027,Good,81,Aircraft21,277,Active,Boeing,A478,Airport478,City478,Country478,3520,True,A367,Airport367,City367,Country367,2579,True,2024-04-10,4,2024,09:49:14.714853,9,49,AM,2024-04-10,4,2024,11:49:14.714853,11,49,AM,120,2646.407211028632,5293,80
99,168,6,Scheduled,1073,Bad,81,Aircraft21,277,Active,Boeing,A309,Airport309,City309,Country309,4567,True,A104,Airport104,City104,Country104,1414,True,2024-04-12,4,2024,20:42:28.929808,20,42,PM,2024-04-12,4,2024,23:42:28.929808,23,42,PM,180,2646.407211028632,5293,271
101,169,81,Scheduled,195,Good,82,Aircraft22,244,Active,Boeing,A342,Airport342,City342,Country342,4419,True,A74,Airport74,City74,Country74,4924,False,2024-04-05,4,2024,13:15:23.519927,13,15,PM,2024-04-05,4,2024,14:15:23.519927,14,15,PM,60,2646.407211028632,5293,163
103,170,320,Scheduled,422,Good,68,Aircraft3,354,Active,Airbus,A390,Airport390,City390,Country390,2944,True,A130,Airport130,City130,Country130,3018,False,2024-03-12,3,2024,13:13:49.453484,13,13,PM,2024-03-12,3,2024,17:13:49.453484,17,13,PM,240,2646.407211028632,5293,34
105,171,112,Delayed,1020,Good,79,Aircraft18,207,Active,Boeing,A472,Airport472,City472,Country472,1821,False,A245,Airport245,City245,Country245,2871,True,2024-03-30,3,2024,11:49:51.049536,11,49,AM,2024-03-30,3,2024,16:49:51.049536,16,49,PM,300,1165.0,2330,95
107,172,109,Scheduled,1035,Bad,77,Aircraft16,254,Active,Boeing,A247,Airport247,City247,Country247,4035,True,A351,Airport351,City351,Country351,2114,True,2024-03-07,3,2024,08:02:07.333830,8,2,AM,2024-03-07,3,2024,10:02:07.333830,10,2,AM,120,2438.0,4876,145
109,173,240,Delayed,732,Bad,92,Aircraft38,257,Active,Boeing,A196,Airport196,City196,Country196,3328,True,A334,Airport334,City334,Country334,605,True,2024-03-11,3,2024,10:31:52.348273,10,31,AM,2024-03-11,3,2024,11:31:52.348273,11,31,AM,60,2023.0,4046,17
111,174,17,Scheduled,118,Bad,95,Aircraft41,124,Active,Boeing,A141,Airport141,City141,Country141,4850,True,A121,Airport121,City121,Country121,3435,False,2024-04-03,4,2024,20:39:49.872327,20,39,PM,2024-04-03,4,2024,20:47:49.872327,20,47,PM,8,2646.407211028632,5293,107
113,175,70,Delayed,408,Bad,80,Aircraft15,177,Active,Boeing,A455,Airport455,City455,Country455,4205,False,A385,Airport385,City385,Country385,1647,False,2024-04-21,4,2024,01:17:10.832081,1,17,AM,2024-04-21,4,2024,05:17:10.832081,5,17,AM,240,3769.0,7538,107
115,176,109,Delayed,846,Bad,79,Aircraft18,207,Active,Boeing,A137,Airport137,City137,Country137,4881,True,A158,Airport158,City158,Country158,2123,False,2024-04-17,4,2024,12:36:58.481855,12,36,PM,2024-04-17,4,2024,13:30:58.481855,13,30,PM,54,1929.0,3858,98
117,177,109,Scheduled,297,Good,71,Aircraft6,337,Active,Boeing,A131,Airport131,City131,Country131,2880,False,A444,Airport444,City444,Country444,4455,True,2024-03-07,3,2024,13:01:07.400977,13,1,PM,2024-03-07,3,2024,13:26:07.400977,13,26,PM,25,4264.0,8528,228
119,178,112,Scheduled,988,Bad,80,Aircraft15,177,Active,Boeing,A432,Airport432,City432,Country432,3048,True,A18,Airport18,City18,Country18,4858,True,2024-03-07,3,2024,14:29:53.217042,14,29,PM,2024-03-07,3,2024,14:43:53.217042,14,43,PM,14,4427.0,8854,65
121,179,118,Delayed,508,Bad,95,Aircraft41,124,Active,Boeing,A159,Airport159,City159,Country159,3515,True,A287,Airport287,City287,Country287,1483,True,2024-03-24,3,2024,10:31:02.909555,10,31,AM,2024-03-24,3,2024,11:04:02.909555,11,4,AM,33,3044.0,6088,6
123,180,49,Scheduled,568,Bad,95,Aircraft41,124,Active,Boeing,A399,Airport399,City399,Country399,3279,True,A474,Airport474,City474,Country474,1322,True,2024-05-28,5,2024,09:14:18.624131,9,14,AM,2024-05-28,5,2024,12:03:49.624131,12,3,PM,170,4498.0,8996,75
125,181,90,Delayed,234,Bad,85,Aircraft26,165,Active,Boeing,A315,Airport315,City315,Country315,3824,False,A78,Airport78,City78,Country78,4460,True,2024-03-25,3,2024,22:50:22.623486,22,50,PM,2024-03-25,3,2024,22:56:22.623486,22,56,PM,6,1612.0,3224,75
127,182,111,Scheduled,451,Good,79,Aircraft18,207,Active,Boeing,A238,Airport238,City238,Country238,820,True,A411,Airport411,City411,Country411,669,True,2024-03-22,3,2024,01:21:30.157059,1,21,AM,2024-03-22,3,2024,02:13:30.157059,2,13,AM,52,2646.407211028632,5293,96
129,183,86,Delayed,1093,Bad,90,Aircraft25,238,Active,Boeing,A418,Airport418,City418,Country418,3482,True,A148,Airport148,City148,Country148,971,False,2024-04-01,4,2024,09:20:50.763704,9,20,AM,2024-04-01,4,2024,13:20:50.763704,13,20,PM,240,625.0,1250,152
131,184,34,Delayed,981,Good,75,Aircraft13,144,Active,Airbus,A335,Airport335,City335,Country335,2139,True,A139,Airport139,City139,Country139,1750,True,2024-03-10,3,2024,03:27:07.179847,3,27,AM,2024-03-10,3,2024,08:27:07.179847,8,27,AM,300,1627.0,3254,110
133,185,37,Scheduled,179,Bad,75,Aircraft13,144,Active,Airbus,A220,Airport220,City220,Country220,2858,False,A220,Airport220,City220,Country220,2858,False,2024-03-17,3,2024,23:33:34.836768,23,33,PM,2024-03-18,3,2024,02:33:34.836768,2,33,AM,180,4552.0,9104,107
134,186,149,Scheduled,173,Bad,90,Aircraft25,238,Active,Boeing,A215,Airport215,City215,Country215,1342,False,A417,Airport417,City417,Country417,2519,True,2024-03-26,3,2024,11:17:22.065475,11,17,AM,2024-03-26,3,2024,11:22:22.065475,11,22,AM,5,3536.0,7072,89
136,187,124,Delayed,586,Bad,75,Aircraft13,144,Active,Airbus,A115,Airport115,City115,Country115,3621,True,A415,Airport415,City415,Country415,3696,True,2024-05-28,5,2024,04:50:50.624131,4,50,AM,2024-05-28,5,2024,07:16:08.624131,7,16,AM,145,1606.0,3212,20
138,188,109,Scheduled,386,Bad,73,Aircraft10,182,Active,Airbus,A456,Airport456,City456,Country456,3904,True,A472,Airport472,City472,Country472,1821,False,2024-03-26,3,2024,11:44:42.385039,11,44,AM,2024-03-26,3,2024,12:38:42.385039,12,38,PM,54,2718.0,5436,73
140,189,65,Delayed,1004,Good,82,Aircraft22,244,Active,Boeing,A176,Airport176,City176,Country176,4471,True,A137,Airport137,City137,Country137,4881,True,2024-04-01,4,2024,10:55:13.330765,10,55,AM,2024-04-01,4,2024,15:55:13.330765,15,55,PM,300,2646.407211028632,5293,179
142,190,163,Scheduled,493,Bad,80,Aircraft15,177,Active,Boeing,A350,Airport350,City350,Country350,1098,False,A105,Airport105,City105,Country105,10,True,2024-03-05,3,2024,21:18:16.169298,21,18,PM,2024-03-05,3,2024,23:18:16.169298,23,18,PM,120,2646.407211028632,5293,14
144,191,221,Delayed,355,Bad,76,Aircraft15,276,Active,Airbus,A285,Airport285,City285,Country285,1308,True,A326,Airport326,City326,Country326,713,True,2024-04-07,4,2024,06:14:54.953105,6,14,AM,2024-04-07,4,2024,06:16:54.953105,6,16,AM,2,2660.0,5320,55
146,192,38,Scheduled,666,Bad,98,Aircraft33,201,Active,Airbus,A340,Airport340,City340,Country340,3241,False,A224,Airport224,City224,Country224,3378,True,2024-03-16,3,2024,18:06:05.098706,18,6,PM,2024-03-16,3,2024,20:06:05.098706,20,6,PM,120,2646.407211028632,5293,163
148,193,151,Delayed,583,Bad,79,Aircraft18,207,Active,Boeing,A62,Airport62,City62,Country62,4184,False,A159,Airport159,City159,Country159,3515,True,2024-04-07,4,2024,00:11:12.183739,0,11,AM,2024-04-07,4,2024,03:11:12.183739,3,11,AM,180,4380.0,8760,56
150,194,203,Delayed,901,Good,81,Aircraft21,277,Active,Boeing,A107,Airport107,City107,Country107,4853,True,A256,Airport256,City256,Country256,3873,False,2024-04-17,4,2024,12:07:15.986633,12,7,PM,2024-04-17,4,2024,15:07:15.986633,15,7,PM,180,1070.0,2140,74
152,195,149,Scheduled,170,Bad,68,Aircraft3,354,Active,Airbus,A348,Airport348,City348,Country348,3644,True,A363,Airport363,City363,Country363,3618,True,2024-03-15,3,2024,22:28:10.503309,22,28,PM,2024-03-16,3,2024,00:28:10.503309,0,28,AM,120,1935.0,3870,205
154,196,109,Scheduled,564,Bad,95,Aircraft41,124,Active,Boeing,A214,Airport214,City214,Country214,442,True,A160,Airport160,City160,Country160,2443,True,2024-03-29,3,2024,01:33:08.970200,1,33,AM,2024-03-29,3,2024,01:59:08.970200,1,59,AM,26,1620.0,3240,15
156,197,111,Scheduled,222,Bad,77,Aircraft16,254,Active,Boeing,A113,Airport113,City113,Country113,2284,True,A4,Airport4,City4,Country4,2797,False,2024-04-08,4,2024,22:28:21.819452,22,28,PM,2024-04-09,4,2024,00:12:21.819452,0,12,AM,104,394.0,788,143
158,198,205,Scheduled,277,Bad,77,Aircraft16,254,Active,Boeing,A237,Airport237,City237,Country237,1003,True,A88,Airport88,City88,Country88,1770,False,2024-03-18,3,2024,04:51:00.692978,4,51,AM,2024-03-18,3,2024,05:22:00.692978,5,22,AM,31,938.0,1876,49
160,199,109,Scheduled,1028,Good,77,Aircraft16,254,Active,Boeing,A418,Airport418,City418,Country418,3482,True,A419,Airport419,City419,Country419,1149,True,2024-04-12,4,2024,20:10:48.123355,20,10,PM,2024-04-12,4,2024,21:35:48.123355,21,35,PM,85,442.0,884,145
162,200,109,Scheduled,197,Bad,76,Aircraft15,276,Active,Airbus,A466,Airport466,City466,Country466,1442,False,A447,Airport447,City447,Country447,1588,False,2024-03-29,3,2024,23:22:16.762670,23,22,PM,2024-03-30,3,2024,01:20:16.762670,1,20,AM,118,2906.0,5812,167
164,201,147,Scheduled,180,Bad,71,Aircraft6,337,Active,Boeing,A113,Airport113,City113,Country113,2284,True,A185,Airport185,City185,Country185,1734,True,2024-03-29,3,2024,16:17:06.787449,16,17,PM,2024-03-29,3,2024,21:17:06.787449,21,17,PM,300,4804.0,9608,190
166,202,109,Delayed,266,Bad,80,Aircraft15,177,Active,Boeing,A29,Airport29,City29,Country29,4345,False,A392,Airport392,City392,Country392,3218,False,2024-04-04,4,2024,05:08:42.595442,5,8,AM,2024-04-04,4,2024,05:29:42.595442,5,29,AM,21,1847.0,3694,68
168,203,161,Scheduled,555,Bad,90,Aircraft25,238,Active,Boeing,A80,Airport80,City80,Country80,4791,True,A19,Airport19,City19,Country19,644,True,2024-03-29,3,2024,13:22:45.690520,13,22,PM,2024-03-29,3,2024,17:22:45.690520,17,22,PM,240,2646.407211028632,5293,77
170,204,198,Delayed,669,Bad,71,Aircraft6,337,Active,Boeing,A484,Airport484,City484,Country484,4135,True,A392,Airport392,City392,Country392,3218,False,2024-03-31,3,2024,22:26:32.083794,22,26,PM,2024-03-31,3,2024,23:17:32.083794,23,17,PM,51,3632.0,7264,139
172,205,91,Scheduled,241,Good,80,Aircraft15,177,Active,Boeing,A253,Airport253,City253,Country253,105,False,A175,Airport175,City175,Country175,1200,True,2024-03-12,3,2024,20:12:58.001791,20,12,PM,2024-03-13,3,2024,00:12:58.001791,0,12,AM,240,983.0,1966,86
174,206,185,Delayed,756,Bad,76,Aircraft15,276,Active,Airbus,A11,Airport11,City11,Country11,2289,True,A456,Airport456,City456,Country456,3904,True,2024-04-05,4,2024,20:53:52.772829,20,53,PM,2024-04-06,4,2024,01:53:52.772829,1,53,AM,300,830.0,1660,91
176,207,226,Scheduled,694,Good,90,Aircraft25,238,Active,Boeing,A212,Airport212,City212,Country212,1100,False,A112,Airport112,City112,Country112,990,True,2024-03-31,3,2024,19:56:08.080339,19,56,PM,2024-03-31,3,2024,21:29:08.080339,21,29,PM,93,3555.0,7110,12
178,208,172,Delayed,957,Good,82,Aircraft22,244,Active,Boeing,A382,Airport382,City382,Country382,1304,True,A499,Airport499,City499,Country499,2485,True,2024-04-04,4,2024,08:40:01.263865,8,40,AM,2024-04-04,4,2024,09:40:01.263865,9,40,AM,60,3696.0,7392,72
180,209,109,Scheduled,500,Bad,92,Aircraft38,257,Active,Boeing,A322,Airport322,City322,Country322,4811,True,A218,Airport218,City218,Country218,2502,True,2024-03-19,3,2024,16:48:24.049040,16,48,PM,2024-03-19,3,2024,19:48:24.049040,19,48,PM,180,2646.407211028632,5293,148
182,210,109,Scheduled,129,Bad,98,Aircraft33,201,Active,Airbus,A140,Airport140,City140,Country140,4341,False,A289,Airport289,City289,Country289,3188,True,2024-03-24,3,2024,02:02:58.100735,2,2,AM,2024-03-24,3,2024,06:02:58.100735,6,2,AM,240,991.0,1982,92
184,211,109,Scheduled,129,Bad,77,Aircraft16,254,Active,Boeing,A140,Airport140,City140,Country140,4341,False,A289,Airport289,City289,Country289,3188,True,2024-04-20,4,2024,20:40:28.141946,20,40,PM,2024-04-20,4,2024,20:47:28.141946,20,47,PM,7,991.0,1982,145
